ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2209,2,48,186,52,26,14,85,25,55,7,5,2,8,1,1,0,0,0,0,0,0,0,7,5,4,2,12,1,0,0,546,0,73,619,1043,17,237,468,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2210,2,38,245,55,19,12,85,10,27,4,4,0,6,1,0,0,0,0,0,0,0,0,6,1,1,1,11,4,0,0,530,0,54,584,863,15,237,467,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2211,1,66,77,65,4,3,3,12,45,1,4,1,0,2,0,0,0,0,0,0,0,0,6,3,0,1,1,0,0,0,294,0,15,309,540,12,282,485,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2212,1,32,44,5,2,2,0,4,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,4,130,270,0,389,722,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2213,2,61,130,20,18,5,5,13,60,1,7,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,332,0,28,360,800,31,431,722,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2214,1,8,33,2,1,1,3,3,4,0,0,5,8,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,74,0,4,78,119,11,274,591,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2215,1,94,77,18,5,13,1,7,40,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,265,0,20,285,589,16,341,591,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2216,1,38,44,13,0,1,0,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,114,0,11,125,296,27,345,591,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2217,1,47,74,5,3,6,2,2,24,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,174,0,11,185,431,22,314,590,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2218,1,44,58,6,1,11,3,4,58,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,202,0,3,205,420,3,92,163,Acta casilla,,,
